park_name,width_ft,class,surface,gen_topog,difficulty,date_collected,trail_name,parkid,trailmarkersinstalled,shape
Blue Heron Park,3.0,Class III : Developed/Improved,Dirt,Level,2: Slightly uneven,2021.0,North Ponds Trail,R119,Yes,"MULTILINESTRING ((-74.17520920309295 40.53508903342541, -74.1750413915852 40.53482357473685, -74.17502521657471 40.53471441022564, -74.17486292939121 40.534577551934944, -74.17466058427209 40.53430986243326, -74.17468458988449 40.53424294450262, -74.17469069740056 40.53419851660336, -74.17471994736393 40.53410963848255, -74.17473843944367 40.53410535263693))"
Blue Heron Park,3.0,Class II : Simple/Minor Developed,Dirt,Level,2: Slightly uneven,2021.0,Unnamed Official Trail,R119,Yes,"MULTILINESTRING ((-74.16984567531178 40.536721023580284, -74.16993633501893 40.53684723544985, -74.17009912293959 40.53703377401043, -74.1704715356757 40.53714287098244, -74.17050976665779 40.537188635828635, -74.17044376784872 40.5373032991196))"
Wolfe's Pond Park,3.0,Class III : Developed/Improved,Dirt,Level,2: Slightly uneven,2021.0,Blue Trail,R031,No,"MULTILINESTRING ((-74.1928972765728 40.5226498564427, -74.19278859328158 40.52253152111345, -74.19279406382046 40.5224152138185, -74.19269803721195 40.52236763703861, -74.19262443536182 40.52236744808728, -74.19250357117605 40.52231223940129, -74.19233512638337 40.52222577546341, -74.19219891875147 40.52203736318253))"
Wolfe's Pond Park,3.0,Class III : Developed/Improved,Dirt,Level,2: Slightly uneven,2021.0,Unnamed Official Trail,R031,No,"MULTILINESTRING ((-74.19314670692806 40.51769916070173, -74.19313958199537 40.517690128660114, -74.19305694920087 40.517676965934335, -74.19292606305658 40.51767894834344, -74.19283162157438 40.51747618683697, -74.19261748666158 40.517293967365354, -74.19255575756561 40.51723562288701, -74.19256303333871 40.51712542173024))"
Wolfe's Pond Park,3.0,Class III : Developed/Improved,Dirt,Wavy,2: Slightly uneven,2021.0,Red Trail,R031,No,"MULTILINESTRING ((-74.19220404361783 40.52054133113791, -74.19228514157575 40.520585459994905, -74.1923415841663 40.52058911884209, -74.19244227978439 40.520527667159406, -74.19249606711124 40.52051611951996, -74.19256745205699 40.52054869625008, -74.19264516981045 40.520601962804456, -74.19270824594764 40.52063239662069, -74.19278799279616 40.52066615688078, -74.19287375350439 40.52071923146667, -74.19292958017763 40.52073676463417, -74.19296149200466 40.520728936712686, -74.19300889178729 40.52077786839892, -74.19307315948899 40.52079664894643, -74.19316504505976 40.520865247165155, -74.19325327783864 40.52090461303311))"
Wolfe's Pond Park,3.0,Class III : Developed/Improved,Dirt,Wavy,2: Slightly uneven,2021.0,Red Trail,R031,No,"MULTILINESTRING ((-74.18877860650218 40.519348462736595, -74.18877783793017 40.519346657536275, -74.18878147905025 40.51933355242993, -74.188792729042 40.51931922719739, -74.18881052743819 40.51931384246639, -74.18883930078074 40.51931916679787, -74.18892509045543 40.51930863980775, -74.1890740341277 40.51927282990687, -74.18918815766978 40.51924913351242, -74.18930515080245 40.51922788891917, -74.18960242973735 40.51920252919867, -74.18964489884397 40.51919137080589, -74.18970196192919 40.51916715129712, -74.18973841292704 40.519162238089564, -74.18975591031558 40.51913815148928, -74.18980022426516 40.51910889652766, -74.18988963885513 40.519039077288106))"
Highbridge Park,9.0,Class V : Fully Developed,Paved,Level,1: Flat and smooth,2021.0,Unnamed Official Trail,M037,No,"MULTILINESTRING ((-73.93450082596941 40.84191530545095, -73.93439366957669 40.841864575601186, -73.9343341558967 40.84184794744683, -73.93424952668374 40.84182813431125, -73.93414615590382 40.841817723270374, -73.93400960750455 40.841818741130375, -73.93381056173767 40.84182392648451, -73.93369901829311 40.84181889980462, -73.93359608031282 40.84180739622119, -73.93332708289697 40.8417157059105))"
Highbridge Park,9.0,Class V : Fully Developed,Paved,Level,1: Flat and smooth,2021.0,Old Croton Aqueduct Trail,M037,Yes,"MULTILINESTRING ((-73.93240145110937 40.84198164470641, -73.93270228326882 40.84172982119501, -73.93276419556871 40.841683889822995, -73.93288232705724 40.84156983461139, -73.93298898118928 40.84149486392262, -73.93310249145868 40.84140173596273, -73.93320986970514 40.84130417571321, -73.93328843659178 40.84125412223624, -73.93330553168163 40.841237137112195))"
Highbridge Park,5.0,Class IV : Highly Developed,Dirt,Level,2: Slightly uneven,2021.0,Old Croton Aqueduct Trail,M037,Yes,"MULTILINESTRING ((-73.93663876227731 40.83560366634041, -73.93696079998945 40.83497717900031, -73.93709995323414 40.83479191254815, -73.93711891406717 40.834772577569254))"
Highbridge Park,9.0,Class V : Fully Developed,Paved,Wavy,1: Flat and smooth,2021.0,Unnamed Official Trail,M037,Yes,"MULTILINESTRING ((-73.93059317830777 40.84523103428628, -73.9306717763841 40.84515739513407, -73.93079562197079 40.84493784562762, -73.93086996143315 40.84480701708859, -73.93091437052219 40.844687166494246, -73.93091256151025 40.844653569825795, -73.93088320205372 40.84455360023834, -73.93087133159383 40.84445387795368, -73.93088221181387 40.84440648163081, -73.93091938829342 40.8442411743157, -73.93092793624591 40.84422324431838))"
Highbridge Park,9.0,Class V : Fully Developed,Paved,Wavy,1: Flat and smooth,2021.0,Unnamed Official Trail,M037,Yes,"MULTILINESTRING ((-73.92382195284469 40.855423512692724, -73.92386188712308 40.855226768224156, -73.92391827612278 40.85491533181506, -73.92391896709951 40.85477990108741, -73.9239025384552 40.85465601777177, -73.9238658549474 40.85457755267321, -73.92379207003142 40.85451232009287))"
Highbridge Park,3.0,Class III : Developed/Improved,Dirt,Level,2: Slightly uneven,2021.0,Biking Trail,M037,Yes,"MULTILINESTRING ((-73.92531219514505 40.85969983735559, -73.92521091620095 40.85965152527037, -73.92512592311594 40.859651703372045, -73.92498366443535 40.85969741891556, -73.92490627103975 40.859694900325024, -73.92483614112386 40.85974585663854, -73.92477422589386 40.85975579372066, -73.92471661468014 40.85978788924546, -73.92468656746085 40.859824172008196, -73.92457510500876 40.85987230695257, -73.92454511136843 40.859885307532466, -73.92451243069738 40.85994166946389, -73.92446070325178 40.85996332662239, -73.92439897427037 40.859958396527716, -73.9243385695859 40.86000711488678, -73.92421208241022 40.86005237516538))"
Highbridge Park,3.0,Class II : Simple/Minor Developed,Dirt,Level,2: Slightly uneven,2021.0,Biking Trail,M037,Yes,"MULTILINESTRING ((-73.92408711261022 40.85984983214004, -73.92407967019935 40.85985076375314, -73.92405562103508 40.85984816351812, -73.92399832292118 40.8598072516259, -73.92395708593682 40.85981247161258, -73.92387521091871 40.85967679925245, -73.92384700795473 40.85964959753433, -73.92384547413427 40.85961874031456, -73.92378112108901 40.85957317352277, -73.92374473616921 40.85952065718735, -73.92374685930372 40.859475057750664, -73.92364637631256 40.859415539111076, -73.92363266892107 40.85933099108657, -73.92358264472956 40.859278418843424, -73.92357530736578 40.8592354632852, -73.92351132413376 40.85915655141851, -73.92345219124394 40.858981420810565))"
High Rock Park,3.0,Class IV : Highly Developed,Dirt,Level,2: Slightly uneven,2021.0,Lavender Trail,R088,Yes,"MULTILINESTRING ((-74.12344015969543 40.585390125075854, -74.12354890227603 40.58535698236462, -74.12362071830727 40.58533968529097, -74.12369077359003 40.585263313863656, -74.123720644099 40.58519164318287, -74.12384396153205 40.58513658104008, -74.12387363046139 40.58514166313563, -74.12405857615543 40.58503653358255, -74.1241703723225 40.58504401414535, -74.12438333829658 40.58503459304201))"
Conference House Park,3.0,Class IV : Highly Developed,Paved,Level,1: Flat and smooth,2021.0,Unnamed Official Trail,R006,No,"MULTILINESTRING ((-74.2532479483331 40.50545073302374, -74.25328833812745 40.50540060756209, -74.2533049605935 40.505339097777956, -74.25333820120221 40.50521464996547, -74.25328696801832 40.5050389222447, -74.25324525586777 40.50490463133579, -74.2532282641126 40.504868929370566, -74.25323366673342 40.50481173359127, -74.25324463320207 40.504740229568974, -74.25323683313006 40.50465875933331, -74.2532028726024 40.504593072831504, -74.25311434974081 40.50446174433857, -74.2531104194136 40.504455991395865))"
Conference House Park,9.0,Class V : Fully Developed,Paved,Level,1: Flat and smooth,2021.0,Unnamed Official Trail,R006,Yes,"MULTILINESTRING ((-74.24603871286479 40.49860814696859, -74.24736815635171 40.49834049047562))"
Conference House Park,9.0,Class IV : Highly Developed,Gravel,Level,2: Slightly uneven,2021.0,Blue Trail,R006,Yes,"MULTILINESTRING ((-74.25191792595696 40.50030976206845, -74.25181759936088 40.500226745070314, -74.25163138591577 40.50016094003786, -74.25120233068976 40.49996905697236, -74.25112791361514 40.49991713030074, -74.25104831052796 40.49983779908707, -74.25101341292793 40.49975789365232, -74.25098491926374 40.49965645235126))"
Conference House Park,9.0,Class V : Fully Developed,Paved,Level,1: Flat and smooth,2021.0,Unnamed Official Trail,R006,Yes,"MULTILINESTRING ((-74.24969494274377 40.50057858958872, -74.24975377574235 40.500645692673565, -74.25048953810284 40.50142358430838))"
Conference House Park,9.0,Class V : Fully Developed,Paved,Level,1: Flat and smooth,2021.0,Unnamed Official Trail,R006,Yes,"MULTILINESTRING ((-74.25048953810284 40.50142358430838, -74.25088859175624 40.50184547871041, -74.25099269019408 40.50194457629213, -74.25132097909623 40.50225709478239))"
Blood Root Valley,3.0,Class III : Developed/Improved,Dirt,Level,2: Slightly uneven,2021.0,Blue Trail,R129,Yes,"MULTILINESTRING ((-74.12759459462313 40.592763357905746, -74.12763030013846 40.59279868272602, -74.1276412190023 40.59292657740367, -74.12766558924486 40.59304191103711, -74.12761540422458 40.59312717974929, -74.12753976352484 40.593339680185785, -74.12760957177007 40.5934787795393, -74.1277474219369 40.59365266430406))"
Richmond Parkway,3.0,Class III : Developed/Improved,Dirt,Level,2: Slightly uneven,2021.0,Yellow Trail,R065,Yes,"MULTILINESTRING ((-74.13046833217777 40.58555803647861, -74.13064788959163 40.58549097660818, -74.13069867315241 40.58543157698755, -74.13071810208164 40.585387301308614, -74.13073921546952 40.58535394347007, -74.13074822954748 40.58532460583018, -74.13082043208031 40.58525775245135, -74.13082992325585 40.58518135825164, -74.13085528895695 40.58513904703643, -74.13087158085399 40.585100991223804, -74.13097776328647 40.584810116960234, -74.13096795888687 40.584782090303335))"
Blood Root Valley,3.0,Class III : Developed/Improved,Dirt,Level,2: Slightly uneven,2021.0,Unnamed Official Trail,R129,Yes,"MULTILINESTRING ((-74.13054842671308 40.58827189551764, -74.1304862974538 40.58824728451992, -74.13047715842423 40.588208094175165, -74.13047221042576 40.588124764374875, -74.13041963270673 40.588037201249186, -74.13036791508787 40.58784920704916, -74.1303469903248 40.58780783098373, -74.13032917944213 40.58766362861376, -74.13030242442576 40.58756181685926, -74.130320185379 40.587406879512315, -74.1302917566565 40.58738436352291))"
LaTourette Park & Golf Course,3.0,Class III : Developed/Improved,Dirt,Level,2: Slightly uneven,2021.0,White Trail,R013,Yes,"MULTILINESTRING ((-74.14186355674768 40.588789814525576, -74.14200459298699 40.588912563696645, -74.14215290067311 40.58900660758739, -74.14229406988785 40.58920127661855, -74.14231529586799 40.58924950222919, -74.14236197761336 40.58929756302244, -74.14248115694221 40.589354568884325, -74.14268809539796 40.5894285513268, -74.14270548685123 40.58943673710822))"
Willowbrook Park,3.0,Class III : Developed/Improved,Dirt,Level,2: Slightly uneven,2021.0,White Trail,R030,Yes,"MULTILINESTRING ((-74.14665232674429 40.591350315838596, -74.1466027328211 40.59134722998881, -74.1465059926579 40.59136260915314, -74.14643541817968 40.5913322325749, -74.14623568461907 40.591308248423275, -74.14611735506296 40.59126043702852, -74.14610428464714 40.59121156868715, -74.14603149410316 40.59110380542178, -74.14596825805343 40.59098848087749, -74.14587619797634 40.590948992726155, -74.14580046800565 40.59091974165416, -74.14571219058995 40.59091381471483, -74.14563971650419 40.590904673519155, -74.14558726131644 40.59092516658426))"
Willowbrook Park,3.0,Class III : Developed/Improved,Dirt,Level,2: Slightly uneven,2021.0,White Trail,R030,Yes,"MULTILINESTRING ((-74.15154432162845 40.59455228398376, -74.1515023077471 40.5945136006368, -74.15131673988904 40.59439043011219, -74.1513432884625 40.594296158904314, -74.15121658343787 40.59426285592748, -74.15108973945024 40.59419262069861, -74.15087310895369 40.59405335830424, -74.15078895944653 40.59400356711191, -74.15072507606098 40.59398261287718, -74.15072111336242 40.59397978142376))"
Willowbrook Park,3.0,Class III : Developed/Improved,Dirt,Level,2: Slightly uneven,2021.0,White Trail,R030,Yes,"MULTILINESTRING ((-74.15394215181269 40.595764257697624, -74.15394026501676 40.595763169690564, -74.15382572498952 40.59575746335998, -74.15347743719758 40.595727394078395, -74.1533338228464 40.595633327944135, -74.1531424159163 40.59544363744699, -74.15305899037195 40.59546019486447, -74.15297232592448 40.59548107184412))"
Willowbrook Park,3.0,Class III : Developed/Improved,Dirt,Level,2: Slightly uneven,2021.0,White Trail,R030,Yes,"MULTILINESTRING ((-74.1551488995962 40.59946481099623, -74.15510728112031 40.59945667691153, -74.15505119890821 40.5993277102404, -74.15504253162766 40.599283835809715, -74.15493924447114 40.599208864224124, -74.15486967043498 40.59903438246804, -74.15482493525703 40.59889921289147, -74.15489972040109 40.59878956429742, -74.1548220219172 40.59873721438893, -74.15472396663155 40.59868494226629, -74.15472605627318 40.59860579151597))"
Willowbrook Park,3.0,Class III : Developed/Improved,Dirt,Level,2: Slightly uneven,2021.0,White Trail,R030,Yes,"MULTILINESTRING ((-74.16001259050621 40.60194066159352, -74.16001745260112 40.60194916747353, -74.15959307042061 40.60217798987407, -74.15938233347829 40.602264536267654, -74.15927834410174 40.60246080635874, -74.15929218077606 40.60256787383872, -74.15927047004584 40.60265816880461))"
Freshkills Park,3.0,Class II : Simple/Minor Developed,Sand,Level,2: Slightly uneven,2021.0,Pink Trail,R017,Yes,"MULTILINESTRING ((-74.16823544955753 40.59404508231615, -74.16818631263624 40.59396151533284, -74.16800949112563 40.59381983242596, -74.16780949098602 40.59378657562536, -74.16765838922491 40.593876711749424, -74.16757430796659 40.593867970531385, -74.16740588112005 40.59378272292999, -74.16728656267422 40.593728541936414, -74.16711848738471 40.59365367104587))"
Willowbrook Parkway,5.0,Class III : Developed/Improved,Dirt,Level,2: Slightly uneven,2021.0,"White Trail, Blue Trail",R047,Yes,"MULTILINESTRING ((-74.12982707234681 40.581273325258515, -74.12980570380694 40.58127402929926, -74.12971311137146 40.58126788153017, -74.12958649465472 40.581203938559895, -74.1295271884626 40.58114723724937, -74.12940247146324 40.5810674877227, -74.12917791557187 40.58099506986618, -74.12899638461842 40.580860998364194, -74.12887824310532 40.58070549683529))"
LaTourette Park & Golf Course,3.0,Class III : Developed/Improved,Dirt,Level,2: Slightly uneven,2021.0,"Red Trail, Blue Trail",R013,Yes,"MULTILINESTRING ((-74.13670460302691 40.5802172429348, -74.13668643992966 40.58023907526225, -74.13671768501995 40.58028137176789, -74.13670788791622 40.580335659871906, -74.13678187186765 40.580442329958856, -74.13680882148452 40.58048406692381, -74.13682612865877 40.58059096925294, -74.13680229844665 40.58067155859956, -74.13682782133584 40.580757658921634, -74.13691372291336 40.58085087799276, -74.13697254353886 40.580966780193734, -74.13703186977824 40.58109126556476))"
LaTourette Park & Golf Course,3.0,Class III : Developed/Improved,Dirt,Level,2: Slightly uneven,2021.0,Nature Center Trail,R013,Yes,"MULTILINESTRING ((-74.13862602399344 40.588351404161784, -74.13868002553743 40.58825071079847, -74.1388395443377 40.587875558695536, -74.1389984915851 40.58760860416312, -74.13909470313912 40.58748470253939))"
Brookfield Park,7.0,Class III : Developed/Improved,Gravel,Level,2: Slightly uneven,2021.0,Red Trail,R172,No,"MULTILINESTRING ((-74.15686031961955 40.567597085835786, -74.1567558031875 40.56762439559478, -74.15618813347507 40.5678829904825, -74.15594520802617 40.56799029586659, -74.15578273280082 40.56804285041888))"
Brookfield Park,9.0,Class V : Fully Developed,Concrete,Level,1: Flat and smooth,2021.0,Unnamed Official Trail,R172,No,"MULTILINESTRING ((-74.1524225388179 40.56826340989245, -74.15233365908215 40.56848382534176, -74.15238268047916 40.568835984059845, -74.15244498714382 40.56926351987331))"
Brookfield Park,9.0,Class V : Fully Developed,Concrete,Level,1: Flat and smooth,2021.0,Unnamed Official Trail,R172,No,"MULTILINESTRING ((-74.15540276867945 40.56602045759985, -74.15508076312592 40.566156445450865, -74.15483208713319 40.566313857959216, -74.1545925340588 40.56648437921896, -74.15434787545027 40.56670777134054))"
Brookfield Park,9.0,Class V : Fully Developed,Concrete,Level,1: Flat and smooth,2021.0,Unnamed Official Trail,R172,No,"MULTILINESTRING ((-74.15355755934111 40.56765250481259, -74.15352901291128 40.56767563786974, -74.15322057419228 40.567877912594, -74.15266628278803 40.568106771945686, -74.1524231083277 40.56826199891256, -74.1524225388179 40.56826340989245))"
Brookfield Park,7.0,Class V : Fully Developed,Gravel,Wavy,2: Slightly uneven,2021.0,Red Trail,R172,No,"MULTILINESTRING ((-74.15536871546594 40.56675563856749, -74.15525838144583 40.566818933569536, -74.15505053052401 40.56696972381129, -74.15498273262105 40.56703492877223, -74.15470986461797 40.567350047708196, -74.1546016605449 40.56748174949433))"
Brookfield Park,7.0,Class III : Developed/Improved,Gravel,Level,2: Slightly uneven,2021.0,Red Trail,R172,No,"MULTILINESTRING ((-74.1596998002578 40.567489158798494, -74.15949879938096 40.56752328796412, -74.15918578596158 40.56756854407634, -74.15887357612775 40.56758095962526, -74.15860360925761 40.56755146674018, -74.15838862878225 40.56750056754429))"
Brookfield Park,5.0,Class III : Developed/Improved,Gravel,Level,2: Slightly uneven,2021.0,Orange Trail,R172,No,"MULTILINESTRING ((-74.15874520030935 40.56683825678315, -74.15874366648454 40.56683880101984, -74.15816029067501 40.56671003349907, -74.15786863687953 40.56652081444206, -74.15773580854687 40.56649484473055))"
Brookfield Park,5.0,Class IV : Highly Developed,Gravel,Wavy,2: Slightly uneven,2021.0,Blue Trail,R172,No,"MULTILINESTRING ((-74.16410534735053 40.56307041413781, -74.16397410056896 40.563093347990815, -74.16384472189185 40.56311298400093, -74.16372500281933 40.563141128683114, -74.1634926182874 40.563215687428055, -74.16335071142959 40.56326013492001, -74.16321326263325 40.563302951350956, -74.16308138548125 40.563347068171964, -74.16296902936686 40.56341693652828, -74.16290124992231 40.56348167789886, -74.16286303061918 40.563541606327426, -74.16285884725946 40.563573181128696))"
Brookfield Park,5.0,Class IV : Highly Developed,Gravel,Wavy,2: Slightly uneven,2021.0,Blue Trail,R172,No,"MULTILINESTRING ((-74.16602451721882 40.56374745126962, -74.16595163271111 40.56364411757326, -74.16585300566591 40.5634679737791, -74.16582964137568 40.56339718197134, -74.16579474039955 40.56326487740807, -74.16578969977327 40.563158852138756, -74.16580931109347 40.56306825513269, -74.16585353238688 40.562924371727924, -74.16580878425641 40.56283933743602))"
LaTourette Park & Golf Course,3.0,Class III : Developed/Improved,Dirt,Level,2: Slightly uneven,2021.0,"White Trail, Blue Trail, Nature Center Trail",R013,Yes,"MULTILINESTRING ((-74.1446259170278 40.58597603170904, -74.14450459789624 40.58588403185706, -74.14439402674213 40.58569203491086, -74.14427499356388 40.58561566505159, -74.14413564035291 40.585551202985236, -74.14405799338898 40.58546951380673, -74.14393198631903 40.58538887124044, -74.14382867952386 40.58529283987122, -74.14381299688216 40.585289532963145))"
